EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10,EXT1_E,EXT2_E,EXT3_E,EXT4_E,EXT5_E,EXT6_E,EXT7_E,EXT8_E,EXT9_E,EXT10_E,EST1_E,EST2_E,EST3_E,EST4_E,EST5_E,EST6_E,EST7_E,EST8_E,EST9_E,EST10_E,AGR1_E,AGR2_E,AGR3_E,AGR4_E,AGR5_E,AGR6_E,AGR7_E,AGR8_E,AGR9_E,AGR10_E,CSN1_E,CSN2_E,CSN3_E,CSN4_E,CSN5_E,CSN6_E,CSN7_E,CSN8_E,CSN9_E,CSN10_E,OPN1_E,OPN2_E,OPN3_E,OPN4_E,OPN5_E,OPN6_E,OPN7_E,OPN8_E,OPN9_E,OPN10_E,dateload,screenw,screenh,introelapse,testelapse,endelapse,IPC,country,lat_appx_lots_of_err,long_appx_lots_of_err
1,2,2,4,2,4,1,4,1,4,2,5,4,5,2,2,4,4,2,1,1,4,2,5,4,4,4,4,5,3,1,5,2,4,1,5,2,4,2,2,2,4,4,4,3,2,2,1,5,4,16953,4127,1202,5347,1210,4570,6335,6070,3802,1824,2867,2119,1706,5529,4946,2604,3453,2834,2357,2192,2081,3337,4367,3320,8493,8238,3676,3786,2880,4553,2034,3850,3794,2292,2754,3231,2844,16358,1588,7481,3718,11822,3018,46787,4317,3845,5175,2894,10857,4445,2018-11-06T22:08:38Z,375,812,3,274,4,1,CA,49.25,-123.1333
3,3,3,3,2,2,1,2,5,4,3,3,5,2,4,4,3,3,5,2,1,3,1,5,3,5,2,4,5,5,4,2,5,3,3,1,4,2,5,3,4,1,5,1,4,1,3,4,5,5,3457,2975,2658,2158,1200,1338,2537,2843,1424,3790,1234,3078,2106,2813,1508,1272,3309,16708,916,7736,1432,2026,1345,1353,2662,1553,2558,2672,1210,1273,1780,1434,1501,3018,1737,2639,3075,11506,1026,1657,1465,2334,881,1138,1209,1510,10939,1168,1168,825,2018-04-10T18:45:26Z,1440,900,4,138,9,1,US,40.7668,-72.8521
1,4,2,4,3,3,1,4,2,4,5,2,4,1,3,4,3,3,4,4,4,4,3,4,3,4,1,4,1,3,2,5,3,4,1,5,4,4,3,2,4,3,4,2,3,3,4,4,4,4,2034,2248,4297,1713,2496,1976,7161,1745,2152,2480,1471,2904,1727,4313,1801,3513,1496,3152,1040,1328,2327,1664,1551,1304,2992,1496,3152,1432,2032,2040,2112,1984,2009,1991,1856,1704,2215,1319,2528,2408,2073,2839,1760,1391,2263,2111,1744,2624,1552,952,2018-07-01T16:29:20Z,1366,768,4,116,4,1,US,36.2877,-115.2868
1,2,5,4,1,4,2,3,3,5,5,4,5,4,5,4,4,4,5,1,1,5,5,4,4,5,2,4,4,5,3,4,4,5,2,3,5,3,4,5,2,2,5,1,3,1,4,4,4,5,4077,7647,14203,2730,15333,2138,2587,2735,3919,4288,2516,4217,2529,19653,1736,2281,1661,1739,1310,3624,3658,2472,3080,6433,4843,3088,3530,3290,5143,692,17222,1977,2867,1587,2352,28277,3371,2116,2818,3418,2654,3495,2024,3773,2043,2773,4529,1378,4132,726,2017-03-30T04:08:44Z,1920,1200,3,232,12,2,AU,-27.5952,152.9725
3,4,5,3,1,4,5,4,5,5,3,5,5,3,3,3,1,1,4,1,2,5,1,5,3,5,2,5,5,4,1,1,5,1,2,1,5,2,4,4,4,2,5,1,3,1,2,4,5,3,5718,5351,1867,5670,3589,2693,2876,4597,4441,1225,1612,2613,27318,3743,2870,8744,34388,3801,7441,2125,7126,2256,3373,2852,2011,2598,3212,3602,1194,7677,3404,3409,2763,4420,3372,3728,5037,5748,5880,3665,3045,5453,3560,13947,3662,2527,2646,3567,6259,1557,2016-03-08T22:33:09Z,1366,768,5,259,15,1,US,38.0494,-122.1586
1,3,2,5,1,2,1,5,2,5,4,2,5,4,4,4,5,5,4,4,1,4,1,5,1,4,2,3,4,3,3,2,1,2,1,2,4,4,3,4,4,1,5,1,4,1,5,4,5,4,5484,5379,1481,3188,4712,2356,2234,659,1744,4519,2528,2656,2095,3087,1746,2301,2828,1581,3654,1708,4284,3884,4184,1940,1531,1517,2360,4615,4299,749,5030,3395,5777,3703,1794,3062,1310,5281,15314,10896,3448,2758,2327,11844,2743,2092,440,1968,745,1117,2018-06-06T14:31:31Z,360,640,9,172,8,1,HU,47.4925,19.0514
3,4,3,3,3,3,1,3,3,4,2,3,4,3,2,1,2,2,2,2,2,4,2,3,4,2,4,3,4,3,5,1,5,1,4,1,4,2,4,3,4,1,3,2,4,2,4,4,5,3,8319,4751,3615,1472,8009,3264,5608,3288,3137,7304,5249,5258,3600,5880,2745,2959,2880,3272,2281,2872,6008,688,5032,624,4863,2464,4680,6691,3432,4103,2743,3440,6017,2431,5404,4657,10168,3240,6327,3456,3448,2856,11079,2960,2703,5080,2871,2663,3535,2056,2017-06-23T08:02:46Z,1920,1200,6,216,11,3,CA,43.6667,-79.4167
4,1,4,1,5,1,4,1,5,2,5,3,5,2,1,2,5,3,2,2,1,5,4,4,1,2,1,4,4,5,2,4,4,3,4,4,3,4,1,3,5,2,4,1,4,1,5,5,4,4,35212,2890,4210,3186,3599,10543,3886,2820,3078,1793,11118,4458,8048,5418,3967,4412,2699,3922,2672,3344,4823,3905,13382,3026,6251,18001,5025,4875,2958,36480,7477,4252,16775,3335,9163,6206,3210,3851,8611,4350,22381,6800,3682,3522,2659,2612,13766,2764,2856,3089,2018-07-06T20:35:56Z,320,480,29,354,16,2,US,39.0053,-87.7392
3,2,4,3,3,2,4,3,4,3,3,3,3,1,4,2,4,3,4,4,2,4,3,5,2,4,1,4,5,3,2,3,5,4,1,4,4,5,2,4,5,1,5,1,4,0,5,3,4,5,67364,4222,2680,5287,2164,1664,4690,2189,11650,5385,3074,2852,3425,5821,4000,8842,2296,2124,3387,2198,4555,3621,1394,3623,11165,10995,4050,6166,2156,1051,2679,4795,2180,1647,7608,6827,1950,27906,8215,3204,2638,5204,1491,2803,3869,0,2393,9375,4345,1287,2018-05-05T08:36:32Z,1440,900,4,296,18,2,BE,51.05,3.7167
2,3,4,3,4,2,3,3,4,2,1,4,2,4,4,2,2,2,2,2,3,4,2,4,2,2,2,4,3,3,3,4,5,3,2,4,0,2,4,4,4,1,5,1,4,2,5,4,5,4,2682,2928,3686,3841,3671,2235,3945,3482,5958,4403,1253,1860,1934,7316,2292,1044,4037,1387,2268,2591,6239,1607,2623,3804,3006,1795,2993,2298,6852,3063,1421,4179,1684,3132,1683,4214,0,3493,3054,3140,1395,3683,1536,4024,2511,4311,2122,1712,7066,1492,2018-06-08T16:34:51Z,1536,864,3,154,7,3,US,38.0,-97.0
4,2,3,2,3,2,3,1,2,3,5,2,5,1,2,4,5,5,2,3,3,4,2,4,2,4,2,3,4,4,4,5,5,4,4,4,2,1,2,4,4,1,5,1,4,1,5,3,4,5,37739,5596,5323,5051,4349,4088,9218,4953,5876,5904,4117,3422,3569,3028,4568,3594,3059,27158,16930,8438,7835,4777,8763,6763,3810,4575,2175,16315,4190,8064,9110,5426,3361,5818,6733,7067,4716,34465,4798,4495,6745,7264,3667,3203,8575,7482,3782,8066,6950,7419,2018-06-04T04:13:42Z,360,640,3,389,16,1,FI,60.1708,24.9375
4,1,4,2,4,1,4,4,4,2,5,2,5,2,4,1,5,5,4,3,1,5,3,4,3,4,2,2,5,3,4,4,2,5,1,5,1,2,2,3,4,3,4,1,4,4,1,2,5,5,4319,3520,2966,3427,2643,1565,2796,10361,3367,2181,3330,2384,1652,2170,2376,2384,3265,3951,2775,2146,2930,2252,1970,4542,2836,4555,5853,685,2701,2701,2151,3531,2013,2341,3444,3267,2886,2654,2733,3499,2749,2819,2205,2592,2228,700,982,2295,7263,2253,2017-05-12T07:41:05Z,375,667,2,151,9,3,US,41.6745,-72.8582
2,3,3,3,3,3,5,4,1,3,5,1,5,5,5,5,5,5,5,5,1,5,1,5,3,5,2,5,5,2,2,3,3,3,2,3,3,3,3,4,2,3,4,1,3,2,2,2,5,4,35643,4184,4961,6145,2810,15536,5496,6731,3689,3422,6657,3788,40255,47881,4675,3397,2359,2792,6691,4443,5648,3138,2830,2556,4882,7593,3880,8819,2877,7258,4169,6204,6651,3454,4420,10684,2554,8162,2965,48810,3774,4636,4133,5977,2092,4081,8244,6181,4304,6068,2017-09-02T08:18:01Z,320,534,8,411,14,2,MA,32.0,-5.0
4,1,5,1,5,1,5,1,5,1,2,5,5,4,1,4,4,1,1,4,1,5,2,5,1,5,1,5,5,5,5,4,5,4,5,4,4,1,5,5,4,1,5,1,5,1,5,4,4,5,127780,13596,11138,8627,5055,4940,3490,7716,13118,5756,7412,9506,4557,21572,9226,7188,7292,4519,5541,13116,32207,8659,9369,6101,6557,3531,5097,4827,15767,4557,15194,19207,5895,11686,3014,8739,8397,9857,4239,6262,12570,9435,4995,8185,3784,6191,4795,7170,5881,4199,2018-05-05T09:47:58Z,1366,768,19,549,600,3,GB,52.245,-0.8737
1,3,2,4,3,3,3,3,2,4,4,3,4,2,3,2,4,4,4,3,1,3,2,4,2,0,3,3,4,4,2,2,5,2,3,2,4,3,3,4,5,1,4,1,4,4,5,4,4,4,5412,2360,2864,7639,3912,3337,4992,5424,2873,19528,4160,2232,3071,3752,3032,7424,3648,1888,3080,6416,5240,3400,3208,2936,6632,0,2920,2960,2880,2895,2992,6272,5056,2191,2848,4776,3928,18424,3432,8256,3400,5184,2185,8576,1807,2104,4136,2103,4552,2624,2018-07-23T01:12:55Z,1024,768,197,227,29,1,NL,52.3808,4.6368
3,4,3,5,4,4,4,5,2,5,5,2,4,4,1,1,4,3,4,4,2,3,1,4,2,4,2,4,3,4,3,1,4,3,5,5,3,1,1,4,3,1,2,1,5,4,5,4,3,5,12005,1785,2085,4978,2419,2598,3531,2421,2771,3378,4567,2501,7269,4317,3080,5084,4631,6114,3502,3787,2719,5317,3211,2201,4977,2365,6285,5910,1917,2328,2935,2650,3104,5415,2888,6785,4050,3138,2816,7617,3046,2915,3884,3686,2956,5765,2002,12064,3891,3483,2017-04-14T07:27:57Z,1366,768,45,207,10,167,US,33.4148,-111.9093
3,4,2,4,4,2,4,4,4,5,2,4,4,1,4,5,5,5,4,4,1,4,3,3,1,2,2,5,3,3,2,4,1,3,1,2,4,5,5,5,3,2,3,1,3,3,4,2,4,4,14870,2018,3974,3678,3422,6459,5019,6382,6477,3411,3608,2476,6349,18800,7696,4022,23316,5432,3836,7730,8118,5868,3886,5043,4765,3669,4676,5282,6585,5019,5050,5357,7909,1553,3252,5562,3766,4525,3901,3970,2652,10987,4635,6778,6050,3895,4977,6498,3772,3479,2016-11-28T20:44:06Z,375,667,23,292,14,8,US,39.209,-76.0666
3,3,4,1,3,2,3,2,4,2,1,4,2,2,1,1,2,2,2,3,1,3,1,5,2,4,2,3,4,3,4,2,5,2,5,1,4,1,4,4,5,1,5,2,4,1,5,4,4,5,8606,7269,3830,6069,4220,3093,7215,6795,6376,4241,6466,7979,4049,34381,6776,3504,6087,3822,2764,9691,3255,24057,8475,6349,4449,52067,2844,9044,17930,6442,5253,4692,2800,3963,3659,7505,4016,16179,3039,98923,4323,4809,7198,4584,4350,2839,5165,4379,3052,5095,2018-05-14T15:17:16Z,360,640,5,476,13,1,US,38.0,-97.0
4,4,5,1,2,1,5,1,5,5,5,1,5,1,5,5,2,2,5,2,1,5,1,5,1,5,1,5,5,5,4,1,4,1,1,1,5,1,4,4,2,1,5,1,5,1,4,1,5,5,8291,4204,9210,3884,3483,3315,2150,1383,3534,2931,1319,2115,1601,5964,3665,6349,10022,15675,5368,13298,6282,1748,1473,1415,2282,1900,2185,6375,3582,3266,4563,2505,2298,3101,2602,2652,2644,1017,3269,3517,2878,3500,1419,1970,5917,3318,2566,4849,1738,601,2017-11-20T09:57:34Z,375,667,4,197,4,2,US,39.746,-75.5466
1,5,2,4,2,4,1,4,2,4,1,4,1,4,2,1,2,1,2,1,4,2,3,2,4,2,4,3,1,2,3,1,5,2,5,1,5,2,4,5,4,2,2,2,3,4,4,3,3,3,651051,614,1335,1993,17058,1233,2099,1146,1322,648,1679,1200,2398,3201,3120,3513,1089,1736,2439,1129,3455,1616,1031,1184,2495,1048,1345,6535,1534,1857,849,2016,1475,1615,2767,1401,1235,1118,18576,1695,2905,1553,2280,16566,1320,998,1865,2064,6049,1177,2017-09-12T17:57:19Z,1920,1080,15,793,10,1,US,34.0453,-118.2413
2,3,3,2,3,1,2,4,2,4,2,4,2,2,2,2,1,1,3,2,1,4,1,4,1,3,1,4,4,4,3,2,4,1,3,3,4,2,3,5,4,3,4,2,4,1,4,4,4,4,5242,3728,5578,3064,8089,5530,7245,5155,2569,2777,2951,4136,1900,3601,2427,1642,2019,3444,3255,2865,2912,2027,1930,2367,7650,3213,6299,3801,1855,2169,3139,2387,156249,2498,5472,4130,1752,6120,2414,2338,1780,6214,1791,2328,1982,2627,4917,1682,57827,2717,2018-10-03T07:03:15Z,1366,768,2,383,5,21,US,38.821,-78.5658
4,2,2,1,0,2,4,4,3,3,2,3,1,1,3,4,5,3,2,3,5,2,2,1,5,4,5,3,4,2,2,1,2,2,2,1,4,4,0,2,4,3,1,1,3,3,3,4,4,2,5368,553,484,399,0,1800,1766,1121,838,1486,1270,585,621,445,805,1102,1957,1603,1307,803,1119,687,402,1327,2053,3658,435,1019,1437,2341,471,949,634,6407,1441,1626,1082,788,0,886,1522,470,418,2182,1226,908,1421,650,2307,4625,2016-09-19T10:15:32Z,1366,768,45,70,187,2,NONE,NONE,NONE
2,2,1,4,2,2,2,5,1,5,3,1,5,2,5,5,2,2,5,4,2,4,1,5,2,5,1,5,5,5,4,2,4,2,2,2,4,2,3,4,5,5,3,4,4,3,5,3,5,4,13650,7134,5196,6318,10560,6115,5647,2660,3408,3073,4845,4328,3940,3074,5013,3627,9108,1202,2165,3258,15604,11328,3627,4711,7402,5497,10826,9953,3943,5581,15070,16475,4028,5146,3675,7986,5062,8055,7827,7302,3626,7718,15790,5881,4729,7234,1939,4411,4813,3659,2018-09-09T15:08:33Z,360,640,12,324,16,1,US,40.1092,-91.0176
1,4,1,4,1,3,1,5,1,3,5,1,5,1,5,5,5,5,5,5,3,2,3,4,4,4,5,4,4,1,4,4,5,3,3,3,5,3,4,4,5,1,4,1,5,1,5,5,3,5,4854,3274,2763,2053,1293,12856,1520,1987,3041,2267,5433,5007,4543,2173,2487,2399,1303,1477,1100,1404,5043,3723,6413,1722,7896,2055,6476,8180,2902,2151,4810,4792,5513,1877,3140,2879,1704,1865,2984,4429,1583,2045,2548,4517,876,3447,1466,1383,6071,2868,2016-10-10T23:11:06Z,1366,768,4,175,17,1,US,36.8194,-119.7586
4,4,4,3,2,3,4,3,4,4,2,4,2,4,1,2,2,1,1,2,1,5,1,5,2,5,2,4,5,5,2,5,4,4,2,5,4,2,2,3,4,4,4,3,5,2,5,3,4,5,9398,4894,4120,1749,3564,3073,5125,5886,2850,3632,3330,4717,1968,5176,3694,2774,4052,2222,2342,1738,2365,2092,1923,2588,4548,3140,4281,2955,5660,3225,3507,1999,1645,3875,2390,3939,3621,2620,1927,4515,5166,4438,1939,2237,2781,2914,2237,2991,1404,1283,2017-03-07T21:00:51Z,1280,800,27,168,15,1,US,38.0,-97.0
1,3,1,4,1,2,1,5,3,5,4,3,4,1,5,5,5,5,4,5,1,2,2,5,3,4,2,3,2,1,4,2,5,4,1,4,5,4,1,3,5,1,5,2,5,1,5,4,4,5,11793,3397,2049,2784,2414,3853,815,2020,4564,2051,2917,4648,5499,2331,3789,6177,5585,4749,1754,3446,4884,3816,2251,3871,4065,674,6183,33803,1284,2867,2550,4753,2771,2130,3695,3296,1750,3463,9399,3389,3287,5998,1000,7039,1866,3069,5134,2870,2864,3151,2017-01-09T09:46:07Z,320,568,12,215,7,1,US,36.1526,-80.3623
1,5,3,5,2,5,1,5,1,5,2,5,5,3,1,3,3,2,4,4,1,4,1,5,2,4,4,3,5,3,4,2,5,1,4,1,4,1,5,5,4,2,3,1,3,2,4,3,5,3,6293,6226,13959,6057,14449,7737,12912,4055,10482,3825,10641,7112,13632,18785,9096,10959,21419,19048,6966,18952,4942,11694,14977,4801,18406,11021,21334,8722,6335,5849,17680,18521,1207,8215,16736,18634,13943,5831,5401,20951,10943,17777,17974,14127,10065,8938,21150,9855,5016,17295,2017-09-26T17:15:43Z,1440,900,12,592,9,1,NONE,NONE,NONE
2,4,2,4,2,3,1,4,2,5,4,3,4,4,2,3,2,2,2,3,5,5,3,3,5,1,5,2,2,1,4,2,4,3,2,4,1,4,3,2,5,1,5,2,5,1,5,3,4,4,4204,1056,2750,1828,3500,2900,2422,3558,4306,1560,2144,2152,5100,2116,1988,2676,1970,3428,1560,3284,3344,1208,4694,2486,4824,2572,3816,2946,2090,5926,1672,4104,1328,2650,4000,4630,2346,2578,2110,1314,3910,2580,1096,2194,4270,1206,2002,1890,1864,1484,2018-03-22T10:09:36Z,1366,768,15,142,15,1,RO,44.1833,28.65
2,3,4,2,4,2,3,3,2,2,4,0,4,2,4,3,4,4,4,4,4,2,3,1,4,2,3,4,1,1,5,3,5,1,1,4,4,4,4,5,5,2,3,2,4,3,4,2,3,3,12574,2209,7374,5448,2602,3735,6152,8773,8774,4701,3795,0,2348,6199,6499,4421,1067,4750,2700,6903,14155,3522,4515,4391,7004,3437,5887,6132,8235,4088,6351,9763,2555,2400,32702,6382,4071,19101,4420,23911,7361,5622,4270,3620,4622,7220,5499,5565,5805,3082,2018-10-26T12:30:45Z,375,667,19,329,18,1,FI,60.1708,24.9375
4,1,4,2,5,1,4,4,2,2,4,3,4,4,4,2,2,2,4,1,2,4,2,3,3,3,2,4,2,2,3,4,3,2,2,5,4,4,2,2,5,2,4,3,5,2,4,5,5,5,3804,3686,3882,1466,2743,1680,5543,731,5632,784,1990,8624,1594,3316,2927,2480,5008,1104,4500,3086,1184,2638,1246,5512,5051,2308,1329,5546,754,4342,2437,2926,3618,3308,3133,3320,2886,2811,4212,2612,1838,4410,3042,2775,1008,1356,3624,1284,1422,1702,2018-01-28T04:42:45Z,1768,1105,1,150,15,2,US,39.6848,-83.9296
2,4,3,4,3,3,1,5,3,4,1,4,5,4,1,4,4,1,3,1,3,3,3,5,4,2,1,4,4,5,0,5,5,4,3,3,4,1,4,3,4,1,5,3,4,1,5,3,5,4,9952,19969,3651,3192,3001,3256,5763,2315,2864,1401,6351,2484,2067,3666,6507,4122,2515,2467,5164,1216,8165,3603,2218,3095,3885,3463,2818,2637,2552,3000,0,3074,3518,2918,2740,4382,8052,3431,1503,4285,3408,5081,3978,1015,545,816,2104,2982,3133,2001,2016-12-31T08:41:17Z,375,667,27,188,14,1,US,33.749,-84.388
1,4,3,3,3,2,2,4,2,5,4,4,4,2,3,3,3,3,4,3,2,4,1,4,2,4,2,4,3,4,2,4,4,4,1,5,3,4,1,2,4,1,5,1,4,2,4,3,4,4,42597,2521,3934,3209,2472,1918,3187,4373,2121,2551,2303,1766,1901,1942,1672,3224,2757,2484,3550,2535,4730,1510,1434,1786,4101,1936,1689,1025,1861,1973,1447,1620,3460,1944,3209,4011,3332,2186,1912,4361,1978,3898,1410,4442,2496,1382,2784,4412,2483,1492,2017-07-29T02:48:47Z,1280,800,473,172,8,1,SG,1.2931,103.8558
5,1,5,1,4,1,4,2,5,1,5,2,5,1,3,2,5,4,5,5,1,5,1,5,1,5,1,5,5,5,4,3,5,4,2,3,5,4,5,5,5,1,5,1,4,1,5,4,4,5,42897,1554,1098,2814,2365,1202,2789,3472,1370,5202,1355,4344,1186,2100,4955,5336,1427,4185,1956,1547,2892,3607,1708,4140,4744,1652,3872,1819,987,4626,3178,6730,2260,2725,8104,3686,1274,13856,1394,3787,2228,7543,1214,2409,1098,3406,1804,3191,5596,1070,2017-12-27T20:16:23Z,1440,900,38,201,13,1,US,43.322,-70.5809
4,3,3,2,4,2,3,2,3,3,5,2,4,2,4,4,4,4,4,3,2,4,4,4,2,4,2,3,5,4,4,4,5,3,2,4,3,3,2,4,4,2,4,2,4,2,4,4,3,4,5573,5099,2537,3011,3047,2640,2512,2854,7958,2790,2770,6611,2434,8917,6613,2572,6913,2215,6033,1629,4463,2276,3114,5839,2807,2896,4463,3624,6594,3010,3457,3090,3023,3042,2575,3837,2984,2606,4632,12938,3270,3528,2993,2911,2206,2555,4074,2125,4761,2279,2016-07-28T08:46:54Z,360,640,1870,198,7,1,MY,2.5,112.5
